id,title,review,rating,date,user_name,review_likes
1,Well maintained temple,Not to miss this location as the temple is maintained very well. Lot of visitors during peak hours. Nice feeling while visiting.,4.0,17-07-2018,venkyrahul1,0
2,Must visit attraction in Bangalore,"This is a must visit attraction in Bangalore for all tourists. Lot of prasadam varieties and wide range of books to choose from. Some may feel it is commercial. Hare Rama hare Rama, Rama Rama hare hare;hare Krishna hare Krishna, Krishna Krishna hare hare chanting...More",4.0,15-07-2018,928sunilv,0
3,Sri kishen and radha temple ,Temple is extremely well maintained... A bhajan will be running in background. Marble idols of god and goddess could be seen. Darshan goes good because of systematic queue.,4.0,15-07-2018,veena52,0
4,Must visit,Bengaluru Iskon temple is must visit place you just get inner peace and see the beautiful temple with some gold carving. Good shopping and food stores as well insideMore,5.0,12-07-2018,rushnitin,0
5,great temple and very clean and organised,"highly spiritual,very clean and good temple. have to climb and go to the main temple,elderly people should kindly look into this. overall great experience and a great spiritual environmentMore",5.0,12-07-2018,houstoncrystalblue,0
6,Very peaceful temple ,The temple is very peaceful and system are very systematic there is no push ups as usually happens in all the temples one can enjoy there darshan of god and peaceful envoirment lovely food and drinks and holy literature Nd things galleries and lot moreMore,5.0,12-07-2018,358vipinm,0
7,Most popular temple,"Admire the imposing complex of ISKCON Temple Bangalore, one of the largest ISKCON temples, known for its modern architecture. The spacious temple was built in 1997 by Madhu Pandit Dasa, the president of the International Society for Krishna Conciousness in Bangalore. Climb the steps on...More",4.0,11-07-2018,akhilchandu,0
8,Relaxing,I am usually not a temple person but ISCKON temple is a landmark in Bangalore. The best part its very clean and they just let you be and not much botheration from priests or other people around.,4.0,11-07-2018,Abhinav S,0
9,It's really beautiful place in bangalore to explore.,"Beautiful and very awesome experience.
Even we may visit this place as a break on weekends or holidays.
Its very beautiful place, awesome view from the top of this place.
Must visit !!!!",5.0,11-07-2018,Dipty A,0
10,Wedding celebrations.,"We were at the ISCON Bengaluru in June 2018. The celebrations went off well. The wedding lunch was very good with a sumptuous well cooked meal and catered well.The rooms were simple but very clean, and well maintained",4.0,11-07-2018,setyas2018,0
11,Worth visiting,"Visited Isckon temple in the first week of July.If you are visiting Bengaluru, you must visit this well maintained and beautiful temple, preferably forenoon and on non- holidays/weekend to avail more time for ""darshan"" without waiting much.",4.0,11-07-2018,Som Datt S,0
12,Peaceful temple,"It is a very calm, quiet & peaceful temple. Walkable distance from sandal soap factory metro station. Very cleanly maintained.More",4.0,11-07-2018,Varnaka C,0
13,Iscon temple,"As in other cities, Iskon Blore is also cleanly maintained. U can enjoy food especially sweets, which are very tasty.More",4.0,11-07-2018,yatratri,1
14,Calming effect,"Beautiful temple to visit. Located on a hill has a good view. Huge temple premise, clean and beautiful. Inside the temple will feel very calm and nice.More",4.0,11-07-2018,Amey1234,0
15,A must visit temple.,This temple is one of the beautiful Iskcon temples in India. It has various floors so if one needs to visit then choose to visit all sections in this temple. One can refer to their website for prayer timings. Wheel chair is available too and...More,4.0,11-07-2018,Raj Gaurav S,0
16,Quite boring,The temple looks boring from outside. It is completly white unlike other smaller temples in the city. The main hall is very nice though. It is very decorated and colorfull.More,3.0,11-07-2018,PavelRud,0
17,A Visual Treat,"I thought it was great. We arrived at 6pm so the light was beginning to fade and the place began to shine. The chanting is hypnotic as you'd expect and even with the many many concession stands selling goods inside, you are left with a...More",4.0,11-07-2018,Bill W,0
