review_heading,review_text,user_name,review_rating,review_date,review_likes
Adventure that you cant resist,If you live or ever visited jodhpur then you must experience this and will regret thereafter. Full paisa wasool,Divya Deep G,5.0,Reviewed 14 May 2018,0
Rip off merchants,The zip lining was fine but DO NOT pay online. We did as itâ€™s a few dollars cheaper than the locally advertised rates. I paid using my credit card for myself and 5 friends. When I checked my online bank I had been charged twice....More,Tom I,1.0,Reviewed 4 May 2018,2
Must do!,"Have done this zip line twice in 2 years and think it's an a great way to see the exterior walls of the Mehrangarh Fort. The cost is very reasonable, the guides seem competent, which makes one feel very safe. My only comment would be...More",Dallas S,5.0,Reviewed 3 May 2018,1
Adventure place,Best place to spend some adventurous time in jodhpur city and to live life with thrill and some excitement,Anant K,5.0,Reviewed 27 April 2018,0
Mesmerising! Must Do!!,"An awesome experience at Mehrangarh fort. A little bit of bravery is all it takes to enjoy an experience of an lifetime.
Super views of the fort and its surrounds- Must do activity in Jodhpur!!",Gal_Explorer,5.0,Reviewed 24 April 2018,0
A must for everyone.,Its one of the very feew places when you can have some short of adventure. This is their Zipline ar Mehrangarh Fort. Amazing exerience although it was preety hot but the feeling the views and everything else was perfect. It was Flying fox team that...More,Prabhakar S,5.0,Reviewed 23 April 2018,0
Adventure with excellent service,"Decided to have some fun so went with my wife and daughter to Zipline. Staff was very friendly, gave us all the instructions, gear and safety briefing. We thoroughly enjoyed the 6 ziplines which took approx 1 hour but got too hot for my family...More",upg_uk,5.0,Reviewed 16 April 2018,0
Great fun,Was a really interesting and fun way to see the fort. Felt very safe and the instructors were great. Recommended!,Aneeta S,5.0,Reviewed 10 April 2018,0
Great fun and well organised,Not only do you get unique views of the fort and surrounding city you have an exhilarating ride. The set up and professionalism of the staff makes this great for almost anybody. The management were also flexible when at the last minute I realised I...More,Peter B,5.0,Reviewed 5 April 2018,0
Best Views of the City,This was perhaps one of the highlights of my trip to India. From the Mehrangarh Fort you can get great views of the Blue City but they're incomparable to those witnessed during the zip line experience. It's great value for your money as you will...More,Orchid B,5.0,Reviewed 3 April 2018,0
Just do it!,"Safe as houses, thrill of a lifetime. Be prepared for walking from one line to the next and take water. If I can do it (60 yrs) with 2 replacement hips, so can you!",janeevans24,5.0,Reviewed 1 April 2018,0
Thrill and view is breathtaking ,Zip line over the fort was done by Very professional people but not meant for faint or weak hearted . Excellent thrill and view is superb . Highly recommended. Basic but effective .,Vivek G,4.0,Reviewed 1 April 2018,0
safe and exhillarating,"second time in Jodhpur so decided to try the zip wire experience. After being fitted with the safety equipment we had a dummy run before being taken to the zip wires over the palace walls. There was only me and the husband, the experience was...More",nellie1london,5.0,Reviewed 31 March 2018,0
See the fort and surrounds in a fun and exciting way,My sister and I signed up for the 1030AM schedule on March 18. This was my first zip line experience and I was nervous about the safety aspect. The instruction and practice line quelled my fears somewhat as both of our guides seemed to have...More,Teresa M,5.0,Reviewed 30 March 2018,0
